Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,173.74392332131342,44.69358252058063,5.186903527852842,-0.3009867380742545,0.12280000000000002,0.13580000000000003,0.1098,2000,0.000418105752892262,0.000418105752892262,0.000418105752892262,0_26:0.014589180329511925,0_26:660
1,57.70806985256284,56.92585301413857,5.3955538628787085,-0.29909682615100486,0.026699999999999946,0.0144,0.039000000000000035,2000,0.00046732629649322874,0.00046732629649322874,0.00046732629649322874,1_2:0.013385672966974071; 1_0:0.014889937991636931,1_2:660; 1_0:660
2,58.483162680927144,58.47408526731162,5.215368257150342,-0.2999679131670795,0.020299999999999985,0.02080000000000004,0.0198,2000,0.0004899699947824229,0.0004899699947824229,0.0004899699947824229,2_3:0.011886424052024419,2_3:660
3,144.81065870491852,67.1975971642661,5.116574514062156,-0.302296455534244,0.27959999999999996,0.38759999999999994,0.1716,2000,0.00033646630675162264,0.00033646630675162264,0.00033646630675162264,undefined,undefined
4,36.75351730407725,62.758240421402455,5.493190540390957,-0.29687545072041377,0.019199999999999995,0.010000000000000009,0.0284,2000,0.0005771045883012328,0.0005771045883012328,0.0005771045883012328,4_27:0.01512740011326677; 4_5:0.03827569432818448; 4_3:0.012632713956649139,4_27:660; 4_5:660; 4_3:660
5,93.10423613393267,61.99330779051271,5.307131108988393,-0.3004658791080434,0.00869999999999993,0.0102,0.007199999999999984,2000,0.001058132698711758,0.001058132698711758,0.001058132698711758,5_6:0.025331551581091377,5_6:660
6,120.9130751990338,87.81407654589613,5.137410970000075,-0.3026925282785081,0.010199999999999987,0.006399999999999961,0.014,2000,0.00025343305695794873,0.00025343305695794873,0.00025343305695794873,6_7:0.020723286522110446,6_7:660
7,89.76823014521528,27.852965546867036,5.2899808341323915,-0.2996834954243215,0.03990000000000005,0.025599999999999956,0.0542,2000,0.0012367744543572339,0.0012367744543572339,0.0012367744543572339,undefined,undefined
8,75.38856700213853,48.353343552868594,5.220648958334255,-0.29950846111991153,0.13149999999999995,0.1444,0.11860000000000004,2000,0.0004194694967459782,0.0004194694967459782,0.0004194694967459782,8_28:0.014436326541129585; 8_9:0.013591639445280412; 8_7:0.022940071441171578,8_28:660; 8_9:660; 8_7:660
9,125.54623117459093,52.34279320720102,5.0609321524308895,-0.3021698527968699,0.23809999999999998,0.2548,0.22140000000000004,2000,0.00045346093804444685,0.00045346093804444685,0.00045346093804444685,9_10:0.00932565474709024,9_10:660
10,176.67080970859192,114.15589026698592,5.095423014069512,-0.30292150745250856,0.03810000000000002,0.035800000000000054,0.0404,2000,0.0002755518370524796,0.0002755518370524796,0.0002755518370524796,10_11:0.010010346778362933,10_11:660
11,142.46592392412455,62.97661673856446,5.032386021192751,-0.3032520331770865,0.03980000000000006,0.0514,0.0282,2000,0.0005072315633023501,0.0005072315633023501,0.0005072315633023501,undefined,undefined
12,84.36490528663464,94.09119952870736,5.205056588573731,-0.3022065120658514,0.01319999999999999,0.010800000000000032,0.0156,2000,0.0005414264349264424,0.0005414264349264424,0.0005414264349264424,12_29:0.038362633181564854; 12_11:0.01767925230738779,12_29:356; 12_11:660
